group,line,priority,Investigator,NASA.Log,obsorturl,rflurl,rflhdr,Site.Name,pixel.size..m.,solar.azimuth,solar.elevation,start_time,line_id
2021-06-16_1,ang20210616t104353,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210616t104353.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t104353rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t104353rfl.hdr,OENS_302,2.6,155.01,25.61,2021/06/16 10:43:53+00,6433
2021-06-16_2,ang20210616t112347,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210616t112347.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t112347rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t112347rfl.hdr,206_AVIRIS_2020_GNFS_1,8.2,173.6,23.2,2021/06/16 11:23:47+00,6434
2021-06-16_2,ang20210616t112927,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210616t112927.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t112927rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t112927rfl.hdr,206_AVIRIS_2020_GNFS_2,8.2,177.02,23.12,2021/06/16 11:29:27+00,6435
2021-06-16_2,ang20210616t113454,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210616t113454.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t113454rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t113454rfl.hdr,206_AVIRIS_2020_GNFS_3,8.2,180.3,23.09,2021/06/16 11:34:54+00,6436
2021-06-16_2,ang20210616t114009,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210616t114009.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t114009rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t114009rfl.hdr,206_AVIRIS_2020_GNFS_4,8.2,183.49,23.13,2021/06/16 11:40:09+00,6437
2021-06-16_2,ang20210616t114522,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210616t114522.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t114522rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t114522rfl.hdr,206_AVIRIS_2020_GNFS_5,8.2,186.62,23.21,2021/06/16 11:45:22+00,6438
2021-06-19_1,ang20210619t085806,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210619t085806.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t085806rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t085806rfl.hdr,398_pollino_7,1,114.39,29.96,2021/06/19 08:58:06+00,6439
2021-06-19_1,ang20210619t090731,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210619t090731.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t090731rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t090731rfl.hdr,398_pollino_8,1.1,117.32,28.34,2021/06/19 09:07:31+00,6440
2021-06-19_1,ang20210619t091052,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210619t091052.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t091052rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t091052rfl.hdr,398_pollino_10,1,118.43,27.77,2021/06/19 09:10:52+00,6441
2021-06-19_1,ang20210619t091515,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210619t091515.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t091515rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t091515rfl.hdr,398_pollino_9,1,119.92,27.03,2021/06/19 09:15:15+00,6442
2021-06-19_2,ang20210619t103642,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210619t103642.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t103642rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210619t103642rfl.hdr,396_ETNA_1,0.9,158.08,15.22,2021/06/19 10:36:42+00,6443
