jplgroup,Lines,url,rfl,rflhdr
2017_07_07_c07,ang20170707t204858,https://avng.jpl.nasa.gov/avng/y17_data/ang20170707t204858.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t204858_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t204858_rfl.hdr
2017_07_07_c08,ang20170707t233757,https://avng.jpl.nasa.gov/avng/y17_data/ang20170707t233757.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t233757_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t233757_rfl.hdr
2017_07_08_c00,ang20170708t181228,https://avng.jpl.nasa.gov/avng/y17_data/ang20170708t181228.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t181228_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t181228_rfl.hdr
2017_07_08_c00,ang20170708t181720,https://avng.jpl.nasa.gov/avng/y17_data/ang20170708t181720.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t181720_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t181720_rfl.hdr
2017_07_08_c00,ang20170708t193118,https://avng.jpl.nasa.gov/avng/y17_data/ang20170708t193118.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t193118_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t193118_rfl.hdr
2017_07_08_c00,ang20170708t194013,https://avng.jpl.nasa.gov/avng/y17_data/ang20170708t194013.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t194013_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t194013_rfl.hdr
2017_07_08_c00,ang20170708t195324,https://avng.jpl.nasa.gov/avng/y17_data/ang20170708t195324.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t195324_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t195324_rfl.hdr
2017_07_08_c00,ang20170708t200159,https://avng.jpl.nasa.gov/avng/y17_data/ang20170708t200159.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t200159_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t200159_rfl.hdr
2017_07_08_c01,ang20170708t183626,https://avng.jpl.nasa.gov/avng/y17_data/ang20170708t183626.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t183626_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t183626_rfl.hdr
2017_07_08_c01,ang20170708t191716,https://avng.jpl.nasa.gov/avng/y17_data/ang20170708t191716.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t191716_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t191716_rfl.hdr
2017_07_08_c02,ang20170708t184436,https://avng.jpl.nasa.gov/avng/y17_data/ang20170708t184436.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t184436_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t184436_rfl.hdr
2017_07_08_c03,ang20170708t202625,https://avng.jpl.nasa.gov/avng/y17_data/ang20170708t202625.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t202625_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t202625_rfl.hdr
2017_07_08_c04,ang20170708t204342,https://avng.jpl.nasa.gov/avng/y17_data/ang20170708t204342.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t204342_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t204342_rfl.hdr
2017_07_08_c04,ang20170708t205457,https://avng.jpl.nasa.gov/avng/y17_data/ang20170708t205457.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t205457_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170708t205457_rfl.hdr
